Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	tree_length
0	-2077.08	-2230.455	153.3756	0.156912	0.391981	0.608019	0.843088	1.294965	0.475485	0.00929069	0.0363771	0.0558542	0.126199	0.0890918	0.0349837	0.00412537	0.00550235	0.011573	0.0904241	0.088264	0.0456965	0.00100477	0.0405943	0.106078	0.248412	0.0482236	0.0217193	0.0351927	0.246324	0.0735654	0.00204428	0.00598238	0.0226259	0.000577245	0.000396751	0.00528508	0.00694713	0.00609747	0.0103383	0.000249091	0.00304021	0.032842	0.01537	0.0181706	0.0245341	0.00372626	0.0148589	0.0120472	0.0545595	0.00381424	0.0180561	0.0229755	0.0141483	0.0254045	0.107619	0.00967132	0.0484295	0.0931683	0.020772	0.00523738	0.00818288	0.00192885	0.048707	0.173076	0.0858685	0.0129365	0.0247001	0.176145	0.00751482	0.108182	0.00422046	0.00411412	0.100134	0.0830518	0.0473313	0.00702106	0.10631	0.00505432	0.177134	0.00461328	0.0154537	0.00207447	0.0170522	0.112128	0.045479	0.0545252	0.00540121	0.0337093	0.199973	0.0379187	0.0118355	0.00148658	0.00773341	0.00885567	0.0029099	0.0184034	0.158397	0.0373241	0.00019467	0.686213	0.0945657	0.118	0.101221	0.158846	0.407676	0.755832	1.32305	2.45293	6.29539	1.330314	0.10661	0.00208309	0.0081562	0.0125232	0.0282955	0.0199755	0.00784379	0.000924961	0.0012337	0.00259481	0.0202742	0.0197899	0.0102457	0.000225282	0.00910176	0.023784	0.0556971	0.0108124	0.00486975	0.00789064	0.055229	0.0164943	0.000458354	0.00134133	0.00507301	0.000129426	8.89566e-05	0.00118498	0.00155763	0.00136713	0.00231797	5.58494e-05	0.000681654	0.0073636	0.00344616	0.00407408	0.00550085	0.000835475	0.00333155	0.00270114	0.0122329	0.0008552	0.0040484	0.00515139	0.00317222	0.00569602	0.0241295	0.00216843	0.0108585	0.0208895	0.00465735	0.00117429	0.0018347	0.000432473	0.0109207	0.0388058	0.0192528	0.00290052	0.00553808	0.0394938	0.00168492	0.0242557	0.000946281	0.000922438	0.0224513	0.0186213	0.0106123	0.00157421	0.0238361	0.00113324	0.0397158	0.00103436	0.00346492	0.000465122	0.00382331	0.0251405	0.010197	0.0122252	0.00121102	0.00755806	0.0448365	0.00850185	0.00265367	0.000333309	0.00173393	0.00198555	0.000652437	0.00412629	0.0355146	0.00836855	4.36475e-05	4.46005
36	-2095.143	-2248.624	153.4808	0.146833	0.386942	0.613058	0.853167	1.193957	0.252813	0.0135991	0.0769394	0.117102	0.0891359	0.0513954	0.0203385	0.0120417	0.00590041	0.00641885	0.129851	0.116722	0.0803382	0.0828431	0.00745019	0.0647165	0.295899	0.0663147	0.009631	0.069179	0.29516	0.189073	0.000525329	0.0109866	0.0184518	0.00218722	0.00935347	0.00201133	0.0222584	0.000552232	0.00315946	0.00277549	0.00420514	0.0672317	0.0218924	0.0192542	0.0255711	0.0215087	0.0208509	0.0251052	0.0569146	0.00673738	0.0120853	0.011307	0.0176346	0.0402114	0.124981	0.0166326	0.0119751	0.0321041	0.0409329	0.00363978	0.00362893	0.0439571	0.0762344	0.200679	0.141546	0.00532397	0.0187973	0.175192	0.00846653	0.0521159	0.00349997	0.00504464	0.169083	0.0177889	0.0227988	0.0193493	0.0701217	0.00655031	0.202243	4.40054e-05	0.0176554	0.00375867	0.0572553	0.063763	0.0698533	0.0169842	0.0091427	0.0486185	0.100811	0.0284627	0.00126212	0.00440258	0.0651647	0.00235709	0.00373917	0.00980649	0.118551	0.0196813	0.00113052	0.692593	0.122571	0.167318	0.0175173	0.22251	0.480508	0.795603	1.25691	2.08113	4.49419	1.086617	0.0550699	0.00296229	0.0167596	0.0255082	0.0194164	0.0111954	0.00443031	0.00262303	0.00128528	0.00139821	0.0282853	0.0254254	0.0175	0.0180456	0.00162287	0.0140971	0.0644554	0.0144453	0.00209791	0.0150692	0.0642943	0.0411856	0.000114432	0.0023932	0.00401933	0.00047644	0.00203746	0.000438127	0.00484852	0.000120292	0.000688221	0.000604582	0.000916	0.014645	0.0047688	0.00419413	0.00557013	0.00468521	0.00454193	0.00546863	0.0123977	0.0014676	0.00263252	0.00246298	0.00384132	0.00875921	0.0272244	0.00362306	0.00260852	0.0069932	0.00891637	0.000792849	0.000790486	0.00957513	0.0166061	0.0437136	0.0308327	0.00115971	0.00409459	0.0381618	0.00184426	0.0113523	0.000762394	0.00109887	0.0368311	0.00387494	0.00496624	0.00421484	0.0152745	0.00142685	0.0440543	9.58565e-06	0.00384585	0.000818747	0.0124719	0.0138894	0.0152161	0.00369965	0.00199154	0.0105905	0.0219594	0.0062	0.000274926	0.000959009	0.0141948	0.000513441	0.000814498	0.00213614	0.0258237	0.00428716	0.00024626	4.59076
72	-2080.583	-2235.663	155.0793	0.169292	0.397831	0.602169	0.830708	1.43092	0.348176	0.0771507	0.00691201	0.00899261	0.0579319	0.128336	0.0873408	0.00766955	0.00839912	0.0275769	0.0624062	0.0495055	0.0715634	0.0690322	0.0390926	0.0363137	0.0699183	0.0223027	0.00167998	0.0583086	0.172877	0.0657552	0.000925679	0.0111712	0.00375175	0.00173413	0.00436475	0.00842959	0.000792749	0.00438295	0.00190732	0.0190635	0.00563515	0.0472378	0.0141172	0.00950133	0.0135208	0.0079695	0.0191386	0.0256614	0.0307602	0.000695125	0.0270303	0.0131409	0.0176663	0.0320663	0.110993	0.0182984	0.0385002	0.0116185	0.0193685	0.0823707	0.00446767	0.00356937	0.0258543	0.00275335	0.057644	0.00155902	0.0364386	0.0186848	0.00774228	0.0248016	0.0395444	0.0406796	0.0110324	0.057918	0.00824614	0.0138144	0.062037	0.00186459	0.121176	0.0013371	0.00358645	0.005071	0.0164429	0.178527	0.0682204	0.00429332	0.0141568	0.119317	0.0474031	0.0017912	0.0405334	0.0145801	0.0397518	0.0101101	0.000799078	0.00333823	0.0337068	0.176011	0.00786229	0.750145	0.136141	0.0279197	0.0857945	0.155985	0.404077	0.753744	1.32671	2.47478	6.41089	1.34346	0.102233	0.0226533	0.00202953	0.00264044	0.0170102	0.0376826	0.0256453	0.00225196	0.00246618	0.00809724	0.0183239	0.014536	0.0210127	0.0202695	0.0114785	0.0106626	0.0205296	0.00654859	0.000493282	0.0171208	0.0507606	0.0193073	0.000271801	0.00328014	0.0011016	0.000509181	0.00128159	0.00247513	0.00023277	0.00128694	0.000560034	0.00559749	0.00165461	0.0138701	0.00414514	0.00278981	0.00397001	0.00234003	0.00561955	0.0075348	0.00903191	0.000204105	0.00793672	0.00385847	0.00518724	0.00941541	0.0325901	0.00537286	0.0113046	0.00341147	0.00568705	0.024186	0.00131181	0.00104805	0.00759143	0.000808447	0.0169256	0.000457766	0.0106992	0.00548629	0.00227332	0.00728232	0.0116112	0.0119445	0.00323936	0.0170061	0.00242126	0.00405624	0.0182155	0.000547488	0.0355801	0.000392603	0.00105307	0.00148897	0.00482802	0.0524197	0.0200311	0.00126062	0.00415678	0.0350344	0.0139187	0.000525939	0.0119016	0.00428105	0.0116721	0.00296858	0.000234628	0.000980183	0.00989712	0.0516808	0.00230855	3.405721
108	-2086.185	-2241.353	155.1684	0.155878	0.391476	0.608524	0.844122	1.284223	0.240763	0.0062246	0.0440006	0.0329941	0.0867426	0.0923511	0.108111	7.38053e-05	0.00714089	0.0345059	0.137973	0.0585324	0.0513807	0.0278928	0.0416611	0.180045	0.119068	0.0523934	0.00181914	0.0157923	0.226672	0.0570712	0.000538057	0.0115455	0.00246697	0.00547829	0.00239227	0.00274935	0.00848891	0.00350473	0.00186651	0.0085344	0.00167001	0.012885	0.0156345	0.0139929	0.0194947	0.0125372	0.00846372	0.0242754	0.0339784	0.0109738	0.00220986	0.0133578	0.0227579	0.0134291	0.122448	0.0137146	0.0439305	0.00334079	0.0163387	0.00537826	0.00280865	0.0173468	0.00417589	0.103233	0.0658657	0.0138916	0.0539007	0.106882	0.0186997	0.0356678	0.00133354	0.00112657	0.0738254	0.0374728	0.0243207	0.00221166	0.0856856	0.00980934	0.072396	0.00627951	0.0351386	0.00406021	0.0719976	0.131206	0.0887775	0.012567	0.0123858	0.0230977	0.0965081	0.0530039	0.00215899	0.00824088	0.0228377	0.00489731	0.00117788	0.00755974	0.0845723	0.0172705	0.00322601	0.85672	0.0838965	0.0114375	0.0479459	0.183378	0.437253	0.77253	1.29445	2.287	5.4532	1.226472	0.0688051	0.00177886	0.0125745	0.00942904	0.0247892	0.026392	0.030896	2.1092e-05	0.00204072	0.00986107	0.0394298	0.0167274	0.0146835	0.0079712	0.0119059	0.0514533	0.0340272	0.014973	0.000519874	0.0045131	0.0647784	0.0163098	0.000153766	0.00329946	0.000705009	0.00156558	0.000683662	0.000785709	0.00242596	0.00100158	0.000533412	0.00243896	0.000477253	0.00368226	0.00446801	0.00399889	0.00557119	0.00358287	0.00241876	0.00693742	0.00971032	0.00313608	0.000631532	0.00381737	0.00650373	0.00383776	0.034993	0.00391936	0.0125544	0.000954729	0.00466928	0.001537	0.000802655	0.00495735	0.00119338	0.0295019	0.0188231	0.00396995	0.0154037	0.0305445	0.00534399	0.0101931	0.000381099	0.000321951	0.0210978	0.0107089	0.00695035	0.000632047	0.0244872	0.00280331	0.0206893	0.00179455	0.0100419	0.00116033	0.0205754	0.0374959	0.0253708	0.00359138	0.00353962	0.00660085	0.02758	0.0151474	0.000616995	0.00235508	0.00652656	0.00139955	0.000336614	0.00216042	0.024169	0.00493554	0.000921927	3.499201
144	-2085.368	-2239.457	154.0885	0.144185	0.385573	0.614428	0.855815	1.168711	0.314931	0.00663921	0.0565906	0.0421668	0.0985613	0.137444	0.0588755	0.0141725	0.0061854	0.0405194	0.135772	0.18941	0.0528561	0.052979	0.0826688	0.0647268	0.155748	0.036835	0.000108309	0.043475	0.353947	0.112425	0.000125378	0.0143075	0.00363918	0.00103463	0.0113841	0.00275323	0.00835743	0.00194362	0.00579216	0.00187372	0.00739353	0.042399	0.0331051	0.0184694	0.0151303	0.0152595	0.015271	0.0182734	0.043171	0.000742194	0.00367485	0.0447742	0.0337151	0.0454911	0.0734993	0.00644434	0.0558954	0.0392768	0.0813696	6.35434e-05	0.0123635	0.0428929	0.0159578	0.129836	0.0166325	0.046552	0.042841	0.12423	0.00717405	0.0828484	0.00208124	0.000985121	0.101606	0.0126701	0.0662227	0.0266919	0.0873994	0.00671964	0.115398	0.00489374	0.0281563	0.000340059	0.039852	0.116177	0.121332	0.00661803	0.0117497	0.0253824	0.0581175	0.069332	0.000736276	0.00323944	0.00141064	0.0037297	0.00185478	0.00486845	0.0646794	0.0265778	0.00186929	0.678813	0.0748424	0.240458	0.00588649	0.207794	0.464738	0.787363	1.27006	2.15175	4.81246	1.136092	0.074387	0.00156819	0.0133667	0.00995982	0.0232803	0.0324645	0.0139064	0.00334756	0.001461	0.00957071	0.0320695	0.0447388	0.0124847	0.0125137	0.0195264	0.0152885	0.0367877	0.00870046	2.55827e-05	0.0102688	0.0836026	0.0265549	2.96144e-05	0.00337944	0.000859576	0.000244381	0.00268892	0.000650315	0.00197403	0.000459084	0.00136811	0.000442574	0.00174636	0.0100147	0.00781945	0.00436248	0.00357378	0.0036043	0.00360701	0.00431619	0.010197	0.000175307	0.000868004	0.0105757	0.00796352	0.010745	0.0173606	0.00152216	0.0132025	0.00927721	0.0192196	1.5009e-05	0.00292026	0.0101313	0.00376924	0.0306673	0.0039286	0.0109956	0.0101191	0.0293432	0.00169452	0.0195689	0.00049159	0.000232686	0.0239995	0.00299269	0.0156419	0.00630466	0.0206438	0.00158718	0.027257	0.00115591	0.00665055	8.03222e-05	0.00941308	0.0274412	0.0286587	0.00156319	0.00277528	0.00599535	0.0137274	0.0163763	0.000173909	0.000765158	0.000333195	0.000880958	0.0004381	0.00114993	0.0152773	0.00627769	0.000441529	4.233685
180	-2086.791	-2240.109	153.3179	0.125982	0.375572	0.624428	0.874017	1.008083	0.305994	0.0278432	0.0370669	0.00787095	0.0579226	0.200742	0.0976501	0.0105512	0.00324956	0.106607	0.121619	0.144852	0.0874678	0.039416	0.150244	0.086175	0.0559737	0.077292	0.00705914	0.0846547	0.292332	0.098886	0.00156571	0.00984453	0.00623244	0.0108657	0.00105103	0.00493947	0.031942	0.000627423	0.00715055	0.00946305	0.00568241	0.0222662	0.0153599	0.0204933	0.00429628	0.0140691	0.00601417	0.0573314	0.064968	0.00366941	0.0430728	0.000336132	0.00765099	0.0611087	0.113236	0.024816	0.0263901	0.0193943	0.00673914	0.00630191	0.00244361	0.00539864	0.0550623	0.00594376	0.00854494	0.00240339	0.00205799	0.0416995	0.0105434	0.0110375	0.135062	0.144834	0.00594356	0.0731261	0.0153582	0.0501717	0.138616	0.0165306	0.145143	0.0224289	0.00626927	0.017685	0.120338	0.150745	0.174936	0.157555	0.0037541	0.0981	0.0371359	0.00543282	0.041586	0.0108538	0.019375	0.0547729	0.0898567	0.00443949	0.00223846	0.205591	0.0074729	0.598709	0.357044	0.0339334	0.0103135	0.237194	0.49572	0.803377	1.24475	2.01727	4.21596	1.040407	0.0636316	0.00579002	0.00770808	0.00163677	0.012045	0.0417444	0.0203064	0.00219413	0.000675749	0.022169	0.0252907	0.0301221	0.018189	0.00819658	0.0312433	0.0179202	0.0116398	0.0160729	0.00146795	0.017604	0.0607907	0.0205634	0.000325591	0.00204718	0.00129604	0.00225952	0.000218562	0.00102716	0.00664235	0.000130473	0.00148696	0.00196785	0.00118166	0.00463027	0.00319411	0.00426159	0.000893414	0.00292567	0.00125065	0.0119221	0.0135101	0.000763057	0.00895702	6.98988e-05	0.00159103	0.0127076	0.0235476	0.00516051	0.00548784	0.00403306	0.00140141	0.00131049	0.000508151	0.00112265	0.0114502	0.00123601	0.00177693	0.000499786	0.00042796	0.00867145	0.0021925	0.00229526	0.0280862	0.0301182	0.00123597	0.0152066	0.00319374	0.0104332	0.0288254	0.00343755	0.0301826	0.0046641	0.0013037	0.00367762	0.0250244	0.0313474	0.0363781	0.0327636	0.000780668	0.0204	0.00772244	0.00112976	0.00864784	0.00225706	0.00402904	0.0113901	0.0186858	0.000923195	0.00046549	0.0427528	0.00155399	4.808834
216	-2084.006	-2237.489	153.4839	0.170488	0.398379	0.601621	0.829511	1.444828	0.239039	0.0538616	0.0306405	0.0429022	0.0571831	0.197478	0.101378	0.00541748	0.017	0.0586722	0.158873	0.154964	0.0473293	0.031812	0.0332187	0.10141	0.24252	0.0375677	0.000167466	0.0564205	0.180733	0.0529036	0.00700099	0.0235892	0.00355725	0.000419867	0.00200235	0.00534987	0.00260602	0.00382274	0.00262274	0.00841571	0.00843421	0.0222751	0.0212831	0.0318262	0.0180178	0.00424365	0.0152138	0.0195637	0.0151179	0.0105258	0.032275	0.0379706	0.0048727	0.00965766	0.125438	0.0109225	0.111824	0.00737835	0.0288997	1.19047e-05	0.0180823	0.0353486	0.00952595	0.201932	0.0393552	0.0317915	0.0183068	0.203093	0.0151882	0.0387815	0.00316975	0.00581775	0.155218	0.0185406	0.105358	0.0447431	0.0672726	0.0100036	0.0900138	0.00419561	0.0273372	0.0026664	0.198608	0.0952247	0.117513	0.0506051	0.0394561	0.00554489	0.0302654	0.018833	0.00285014	0.00812104	0.00104129	0.0128821	0.00397674	0.0208916	0.119837	0.0116237	0.00209804	0.705079	0.155857	0.119932	0.0191324	0.18334	0.437208	0.772505	1.29449	2.28724	5.45436	1.226624	0.0545534	0.0122923	0.00699277	0.00979113	0.0130503	0.0450684	0.0231364	0.00123638	0.00387973	0.0133901	0.0362579	0.0353658	0.0108015	0.00726012	0.00758116	0.0231438	0.0553479	0.00857368	3.82191e-05	0.0128763	0.0412468	0.0120737	0.00159776	0.00538352	0.000811834	9.5822e-05	0.000456975	0.00122095	0.000594746	0.000872425	0.000598561	0.00192063	0.00192485	0.00508362	0.00485722	0.00726337	0.00411202	0.000968484	0.00347208	0.00446482	0.0034502	0.0024022	0.00736578	0.00866563	0.00111204	0.00220407	0.0286275	0.00249272	0.0255205	0.00168388	0.00659548	2.71688e-06	0.00412674	0.00806724	0.00217401	0.0460848	0.00898163	0.00725545	0.00417797	0.0463499	0.00346624	0.00885071	0.000723399	0.00132772	0.0354237	0.00423134	0.0240448	0.0102113	0.0153529	0.00228302	0.0205429	0.000957521	0.00623888	0.000608525	0.0453262	0.0217322	0.0268189	0.0115491	0.00900465	0.00126545	0.00690716	0.00429806	0.000650459	0.00185338	0.000237643	0.00293994	0.000907571	0.00476787	0.0273491	0.00265276	0.000478814	4.381744
252	-2091.929	-2247.931	156.0026	0.161141	0.394019	0.605981	0.83886	1.339843	0.138596	0.0192161	0.0291271	0.0158394	0.0721647	0.0369228	0.0634999	0.00129616	0.00560871	0.0522311	0.0812867	0.0968113	0.033061	0.114086	0.029406	0.110705	0.116823	0.0774451	1.6598e-05	0.0437307	0.0965853	0.0588253	6.84403e-05	0.00535711	0.00946389	0.000418418	0.00470251	0.0003948	0.00281501	0.00399769	0.00546431	0.00513613	0.0036323	0.0160865	0.00655553	0.0194162	0.00700044	0.00617422	0.0200196	0.0132577	0.0261966	0.00441615	0.00992958	0.0205871	0.00057035	0.0160948	0.0638561	0.00733205	0.0431477	0.0142802	0.00719433	0.00157961	0.0102528	0.00172056	0.024858	0.112992	0.010107	0.0319666	0.012539	0.0557014	0.00236535	0.0485355	0.0107702	0.00517478	0.0927439	0.00894974	0.0563526	0.0236691	0.0353523	0.00468562	0.0774669	0.00113305	0.028137	0.00195976	0.0550525	0.120497	0.0378564	0.0304575	0.00359836	0.0237592	0.0916265	0.0195962	0.00537297	0.00173611	0.0304384	0.000723936	0.00182747	0.0129443	0.108733	0.0160121	0.00490602	0.803016	0.0895832	0.106096	0.00130497	0.140988	0.38464	0.74224	1.34727	2.59983	7.09279	1.416549	0.048443	0.00671656	0.0101808	0.00553632	0.0252236	0.0129056	0.022195	0.000453046	0.0019604	0.0182562	0.028412	0.0338383	0.0115558	0.0398763	0.0102782	0.0386945	0.040833	0.0270692	5.80147e-06	0.0152851	0.0337593	0.0205611	2.39218e-05	0.00187246	0.0033079	0.000146249	0.00164366	0.000137994	0.000983924	0.0013973	0.00190993	0.00179522	0.00126959	0.00562268	0.00229134	0.00678652	0.00244685	0.00215806	0.00699742	0.00463393	0.00915646	0.00154357	0.00347067	0.00719579	0.000199353	0.00562557	0.0223195	0.00256276	0.0150813	0.00499132	0.00251462	0.000552119	0.00358366	0.000601385	0.00868858	0.0394938	0.00353268	0.0111732	0.00438274	0.0194692	0.000826758	0.0169645	0.00376448	0.00180873	0.0324166	0.00312819	0.0196968	0.00827303	0.0123566	0.00163776	0.0270769	0.000396033	0.00983468	0.000684992	0.0192424	0.0421169	0.0132319	0.0106458	0.00125773	0.0083045	0.032026	0.00684942	0.001878	0.000606819	0.0106391	0.000253036	0.000638752	0.00452442	0.0380051	0.00559667	0.00171479	2.861
288	-2090.26	-2244.562	154.3018	0.152072	0.389595	0.610406	0.847927	1.245456	0.254533	0.0356779	0.0729703	0.0062444	0.162654	0.146436	0.0752446	0.00373989	0.00347721	0.0123227	0.102538	0.184759	0.0944459	0.0227742	0.0144903	0.177307	0.128405	0.0275846	0.0198042	0.0991064	0.203363	0.0658668	0.00595622	0.0145848	0.00262057	0.00422373	0.00292627	0.00324088	0.000935816	0.000682436	0.00184859	0.0112936	0.00475389	0.0458325	0.0377422	0.0198195	0.0169159	0.0045774	0.00404776	0.00838066	0.0652684	0.0178954	0.0226004	0.0345182	0.000509095	0.0268606	0.0579024	0.00357196	0.0237905	0.0223864	0.00181328	0.0958323	0.0531903	0.0615086	0.0671605	0.0223381	0.0048859	0.0122381	0.00808631	0.00769821	0.162537	0.00714043	0.0189768	0.0516848	0.000246028	0.0112252	0.0205209	0.00773619	0.0205551	0.0535694	0.105286	0.00490072	0.00456479	0.0278019	0.0464814	0.00974584	0.0708306	0.130769	0.00335021	0.00845964	0.00619908	0.0556864	0.227661	0.126714	0.0348792	0.0236221	0.012518	0.100113	0.0054888	0.0174663	0.0171096	0.751716	0.0591335	0.173164	0.0159864	0.227155	0.485375	0.798108	1.25296	2.06026	4.40227	1.071675	0.06196	0.00868493	0.0177629	0.00152005	0.0395941	0.0356463	0.0183165	0.000910386	0.000846443	0.00299967	0.0249605	0.0449751	0.0229906	0.00554382	0.00352732	0.0431612	0.0312571	0.00671482	0.00482087	0.0241251	0.0495039	0.0160337	0.0014499	0.00355031	0.000637914	0.00102816	0.00071233	0.000788915	0.000227802	0.000166123	0.000449995	0.00274917	0.00115722	0.0111568	0.00918744	0.00482458	0.00411777	0.00111426	0.000985329	0.00204007	0.015888	0.0043562	0.00550153	0.00840262	0.000123927	0.00653858	0.014095	0.000869509	0.00579123	0.00544944	0.000441401	0.0233281	0.0129479	0.0149728	0.0163486	0.00543767	0.00118935	0.00297908	0.00196842	0.00187395	0.0395659	0.00173817	0.00461944	0.0125814	5.98896e-05	0.00273252	0.00499533	0.00188319	0.00500365	0.0130402	0.0256294	0.00119296	0.00111119	0.00676771	0.0113148	0.00237239	0.017242	0.0318327	0.000815527	0.0020593	0.00150902	0.0135555	0.0554187	0.0308455	0.00849051	0.00575024	0.0030472	0.0243701	0.00133612	0.00425175	0.00416493	4.108023
324	-2090.391	-2242.131	151.7401	0.160651	0.393785	0.606215	0.839349	1.33457	0.401543	0.0177474	0.0345526	0.184695	0.0899965	0.163797	0.0831813	0.00559948	0.00575438	0.0407644	0.128814	0.213216	0.116379	0.0488753	0.022818	0.122739	0.0924074	0.0491867	0.00692152	0.113245	0.360103	0.0841888	0.00867303	0.0197487	0.00821263	0.00636994	0.00498572	0.00676023	0.00273469	0.0304083	0.0103287	0.0114513	0.00702289	0.0498898	0.0302183	0.0246978	0.0198099	0.00846556	0.00748731	0.0228833	0.0215887	0.0108214	0.0518891	0.0626733	0.0222695	0.0500846	0.118948	0.00493765	0.0296294	0.0397151	0.155685	0.0784113	0.0387518	0.069793	0.0846542	0.0420417	0.067262	0.133471	0.0141091	0.00784379	0.139406	0.0186796	0.0203819	0.126527	0.00582536	0.0971081	0.00194838	0.00582651	0.016991	0.0230084	0.0473307	0.00146461	0.00707132	0.0705524	0.0402239	0.0308253	0.218854	0.155691	0.013925	0.00887227	0.0495313	0.0187194	0.203622	0.055495	0.0997483	0.0194782	0.0149988	0.155586	0.0706996	0.0109286	0.0135356	0.803126	0.076323	0.0970615	0.0234898	0.251732	0.510312	0.810681	1.23353	1.95959	3.97249	0.9973956	0.0725578	0.00320691	0.00624357	0.0333739	0.0162622	0.0295977	0.0150307	0.00101181	0.0010398	0.00736603	0.0232764	0.0385276	0.0210295	0.00883165	0.00412316	0.0221786	0.0166978	0.00888791	0.0012507	0.0204631	0.0650698	0.0152127	0.0015672	0.00356855	0.001484	0.00115103	0.000900908	0.00122156	0.000494151	0.0054947	0.00186637	0.00206922	0.00126902	0.00901497	0.00546037	0.00446283	0.00357961	0.00152971	0.00135294	0.00413495	0.00390102	0.0019554	0.00937624	0.0113249	0.00402405	0.00905017	0.0214936	0.000892221	0.00535397	0.00717641	0.0281319	0.0141687	0.00700235	0.0126114	0.0152968	0.00759683	0.0121541	0.0241179	0.00254948	0.00141735	0.0251903	0.00337537	0.00368296	0.0228631	0.00105263	0.0175472	0.000352068	0.00105284	0.00307023	0.00415756	0.00855254	0.000264651	0.00127777	0.0127487	0.00726835	0.00557006	0.0395464	0.028133	0.00251621	0.0016032	0.00895019	0.00338255	0.0367941	0.0100278	0.0180243	0.00351966	0.00271024	0.0281141	0.0127752	0.00197477	0.00244585	5.534109
